version,lr_phase2,weight_decay,val_f1_display,val_acc_display,val_loss_display,mean_p2_epochs,n_folds
V2,0.0001,0.0001,0.9175 ± 0.0200,0.9379 ± 0.0130,0.2230 ± 0.0492,10.0,3
V2,0.0001,0.001,0.9107 ± 0.0075,0.9326 ± 0.0034,0.2193 ± 0.0092,7.666666666666667,3
V2,5e-05,0.0001,0.9046 ± 0.0190,0.9281 ± 0.0131,0.2229 ± 0.0550,8.0,3
V2,5e-05,0.01,0.9037 ± 0.0304,0.9281 ± 0.0198,0.2407 ± 0.0578,9.0,3
V2,0.0005,0.001,0.9037 ± 0.0354,0.9303 ± 0.0228,0.3108 ± 0.1745,9.0,3
V2,0.0005,0.0001,0.9002 ± 0.0159,0.9167 ± 0.0151,0.2292 ± 0.0653,9.0,3
V2,5e-05,0.001,0.9002 ± 0.0196,0.9251 ± 0.0120,0.2216 ± 0.0552,8.0,3
V2,0.0001,0.01,0.8924 ± 0.0208,0.9144 ± 0.0243,0.2707 ± 0.0342,7.0,3
V1,1e-05,0.0,0.8854 ± 0.0182,0.9114 ± 0.0202,0.2105 ± 0.0135,14.0,3
V1,1e-05,0.0001,0.8854 ± 0.0182,0.9114 ± 0.0202,0.2105 ± 0.0135,14.0,3
V1,1e-05,0.001,0.8854 ± 0.0182,0.9114 ± 0.0202,0.2105 ± 0.0135,14.0,3
V1,5e-06,0.0,0.8805 ± 0.0149,0.9076 ± 0.0137,0.2215 ± 0.0146,15.0,3
V1,5e-06,0.0001,0.8805 ± 0.0149,0.9076 ± 0.0137,0.2215 ± 0.0146,15.0,3
V1,5e-06,0.001,0.8805 ± 0.0149,0.9076 ± 0.0137,0.2215 ± 0.0146,15.0,3
V1,1e-06,0.0,0.8484 ± 0.0048,0.8819 ± 0.0040,0.2841 ± 0.0100,15.0,3
V1,1e-06,0.0001,0.8484 ± 0.0048,0.8819 ± 0.0040,0.2841 ± 0.0100,15.0,3
V1,1e-06,0.001,0.8484 ± 0.0048,0.8819 ± 0.0040,0.2841 ± 0.0100,15.0,3
V2,0.0005,0.01,0.8451 ± 0.0746,0.8645 ± 0.0952,0.4793 ± 0.3672,8.0,3
