lr_phase1,wd_phase1,lr_phase2,weight_decay,fold,val_acc,val_loss,val_f1,p1_epochs_run,p2_epochs_run,timestamp,error
0.001,0,0.0005,0.0001,0,0.909297,0.247531,0.888268,15,6,2026-03-12T16:52:05,
0.001,0,0.0005,0.0001,1,0.906818,0.283349,0.894057,20,9,2026-03-12T16:58:30,
0.001,0,0.0005,0.0001,2,0.934091,0.156691,0.91831,13,12,2026-03-12T17:04:05,
0.001,0,0.0005,0.001,0,0.938776,0.216023,0.916409,15,10,2026-03-12T17:09:38,
0.001,0,0.0005,0.001,1,0.904545,0.512133,0.863636,20,7,2026-03-12T17:20:45,
0.001,0,0.0005,0.001,2,0.947727,0.204254,0.930931,13,10,2026-03-12T17:26:55,
0.001,0,0.0005,0.01,0,0.918367,0.226008,0.888889,15,6,2026-03-12T17:31:35,
0.001,0,0.0005,0.01,1,0.754545,0.900454,0.758929,20,10,2026-03-12T17:38:14,
0.001,0,0.0005,0.01,2,0.920455,0.311562,0.88746,13,8,2026-03-12T17:42:53,
0.001,0,0.0001,0.0001,0,0.922902,0.279433,0.89441,15,7,2026-03-12T17:47:46,
0.001,0,0.0001,0.0001,1,0.945455,0.200611,0.928994,20,14,2026-03-12T17:55:18,
0.001,0,0.0001,0.0001,2,0.945455,0.189062,0.928994,13,9,2026-03-12T18:00:13,
0.001,0,0.0001,0.001,0,0.929705,0.22835,0.904615,15,7,2026-03-12T18:05:07,
0.001,0,0.0001,0.001,1,0.931818,0.219702,0.908537,20,7,2026-03-12T18:11:03,
0.001,0,0.0001,0.001,2,0.936364,0.209957,0.919075,13,9,2026-03-12T18:15:57,
0.001,0,0.0001,0.01,0,0.927438,0.24491,0.904192,15,7,2026-03-12T18:20:50,
0.001,0,0.0001,0.01,1,0.886364,0.309432,0.868421,20,5,2026-03-12T18:26:23,
0.001,0,0.0001,0.01,2,0.929545,0.257771,0.904615,13,9,2026-03-12T18:31:19,
0.001,0,5e-05,0.0001,0,0.920635,0.285812,0.888179,15,7,2026-03-12T18:36:10,
0.001,0,5e-05,0.0001,1,0.943182,0.183867,0.925373,20,11,2026-03-12T18:43:02,
0.001,0,5e-05,0.0001,2,0.920455,0.19898,0.900285,13,6,2026-03-12T18:47:16,
0.001,0,5e-05,0.001,0,0.9161,0.284714,0.881789,15,7,2026-03-12T18:52:09,
0.001,0,5e-05,0.001,1,0.938636,0.181896,0.920821,20,11,2026-03-12T18:59:02,
0.001,0,5e-05,0.001,2,0.920455,0.1983,0.897959,13,6,2026-03-12T19:03:17,
0.001,0,5e-05,0.01,0,0.911565,0.29298,0.874598,15,7,2026-03-12T19:08:10,
0.001,0,5e-05,0.01,1,0.95,0.178683,0.935294,20,11,2026-03-12T19:15:01,
0.001,0,5e-05,0.01,2,0.922727,0.250292,0.901163,13,9,2026-03-12T19:19:57,
