backbone,target_dim,k,fold,nca_knn_f1,linear_f1,delta_f1,timestamp,error
base,64,3,0,0.917874,0.941176,-0.023302,2026-03-15T13:25:34,
base,64,3,1,0.917874,0.926829,-0.008955,2026-03-15T13:26:29,
base,64,3,2,0.95,0.942308,0.007692,2026-03-15T13:27:34,
base,64,3,3,0.890052,0.887701,0.002351,2026-03-15T13:28:44,
base,64,3,4,0.93,0.888889,0.041111,2026-03-15T13:29:48,
cbam_end,256,5,0,0.932039,0.911628,0.020411,2026-03-15T13:30:54,
cbam_end,256,5,1,0.906404,0.901554,0.00485,2026-03-15T13:32:01,
cbam_end,256,5,2,0.939394,0.956098,-0.016704,2026-03-15T13:33:11,
cbam_end,256,5,3,0.93401,0.917526,0.016484,2026-03-15T13:34:22,
cbam_end,256,5,4,0.961165,0.94,0.021165,2026-03-15T13:35:33,
se_block_pre,128,9,0,0.894231,0.872727,0.021504,2026-03-15T13:36:40,
se_block_pre,128,9,1,0.903553,0.899471,0.004082,2026-03-15T13:37:44,
se_block_pre,128,9,2,0.94,0.941176,-0.001176,2026-03-15T13:38:50,
se_block_pre,128,9,3,0.900524,0.884211,0.016313,2026-03-15T13:39:56,
se_block_pre,128,9,4,0.950495,0.937198,0.013297,2026-03-15T13:41:05,
