backbone,target_dim,k,mean_f1,std_f1
base,64,3,0.9844509232264335,0.01620343245921579
base,128,9,0.9844509232264335,0.01620343245921579
base,256,9,0.9844509232264335,0.01620343245921579
base,64,5,0.9844167913323361,0.018083345581402496
base,512,5,0.9835579780566471,0.015206904709970052
base,128,7,0.9834904061292291,0.015853332451648834
base,256,7,0.9834393239334163,0.017601704904621047
base,512,7,0.9825354730495489,0.012549119007295708
base,512,9,0.9825354730495489,0.012549119007295708
base,128,5,0.9825242225543499,0.014875905833646036
base,256,5,0.982518572453778,0.018599920865221487
base,512,3,0.9816256109068887,0.017910936869977346
base,64,9,0.981580672135964,0.01579859254416851
base,64,7,0.9815013394372922,0.015910465626091896
base,256,3,0.9796756140879997,0.017986028065270672
base,128,3,0.9795688743039527,0.018973035186876545
base,512,1,0.9768330561286603,0.014233761958482393
base,128,1,0.9757933898547803,0.013190086217453628
base,64,1,0.9749069738302888,0.013460235590442352
base,256,1,0.9701374574041138,0.01672329929892599
cbam_end,256,5,0.9844565569499021,0.019967257990846428
cbam_end,256,7,0.9844565569499021,0.019967257990846428
cbam_end,512,7,0.9844565569499021,0.019967257990846428
cbam_end,256,9,0.9835299404561285,0.021275530096994368
cbam_end,512,9,0.9835299404561285,0.021275530096994368
cbam_end,512,5,0.9834847560286573,0.01939081096066478
cbam_end,64,5,0.9826030783058083,0.018480658054740254
cbam_end,64,7,0.9826030783058083,0.018480658054740254
cbam_end,64,9,0.9826030783058083,0.018480658054740254
cbam_end,128,5,0.9826030783058083,0.018480658054740254
cbam_end,256,3,0.9816871910865377,0.015707301107751363
cbam_end,64,3,0.9816703715176511,0.016050877807080123
cbam_end,128,7,0.9816425120772947,0.021862238645381192
cbam_end,128,9,0.9816425120772947,0.021862238645381192
cbam_end,512,3,0.9807321772639691,0.015171498793857057
cbam_end,128,3,0.9798208931107478,0.01828111333530561
cbam_end,128,1,0.973002351765161,0.013798767908616113
cbam_end,64,1,0.9712200739707217,0.012394849328317819
cbam_end,512,1,0.9682986472632112,0.010823918776682297
cbam_end,256,1,0.9673099943028697,0.009825887498881122
se_block_pre,128,9,0.9767215195611768,0.020679295573010705
se_block_pre,512,7,0.9766535358992147,0.018886377777075154
se_block_pre,512,9,0.9765850229864403,0.0187348506925957
se_block_pre,64,7,0.9748453258750742,0.021190500768898706
se_block_pre,128,7,0.9748284247046682,0.021177382762428334
se_block_pre,64,9,0.9747720032774992,0.01931512197095555
se_block_pre,128,5,0.9740288245047681,0.022306451408187114
se_block_pre,256,7,0.973771618522704,0.023354098949036162
se_block_pre,64,3,0.9737603346986635,0.018800033562689233
se_block_pre,256,9,0.9737096364098653,0.02279411198094115
se_block_pre,128,3,0.9729849138126934,0.01994121245812031
se_block_pre,64,5,0.9728789575522998,0.019803434776654562
se_block_pre,256,5,0.971934372427749,0.02133947833400963
se_block_pre,512,5,0.971934372427749,0.02133947833400963
se_block_pre,128,1,0.9716166938453279,0.015957602509236606
se_block_pre,256,3,0.9708056157243643,0.022681068386159207
se_block_pre,512,3,0.9708056157243643,0.022681068386159207
se_block_pre,64,1,0.9689346554591726,0.015244064160113265
se_block_pre,512,1,0.9688150071059088,0.01752315047194713
se_block_pre,256,1,0.9686490459644541,0.02004507227681836
